N	r	c	alpha	beta	Pi_Em	Pi_Tm	Pi_F	Pi_P	Run_Time
101	2	0.6	15	0.5	3841.216255	3842.329388	3842.711226	3854.58852	1373052500
101	2	0.7	15	0.5	3515.136565	3516.619983	3517.10177	3529.519743	532427414
101	2	0.8	15	0.5	3194.948272	3196.796976	3197.399533	3210.115438	574719821
101	2	0.9	15	0.5	2881.308986	2883.699124	2884.450264	2897.2495	632000220
101	2	1	15	0.5	2576.895732	2579.831115	2580.704039	2593.391976	307718876
101	2	1.1	15	0.5	2278.729189	2282.284862	2283.267054	2295.619219	293897237
101	2	1.2	15	0.5	1987.831496	1991.961126	1993.06581	2004.920498	310021648
101	2	1.3	15	0.5	1702.589099	1707.479613	1708.684826	1719.825973	339878016
101	2	1.4	15	0.5	1426.137619	1431.874905	1433.200745	1443.472766	308559784
101	2	1.5	15	0.5	1157.910849	1164.379548	1165.756567	1174.941264	317736789
101	2	1.6	15	0.5	897.2809708	904.592592	905.9759496	913.8668804	326283518
101	2	1.7	15	0.5	646.0791762	654.1624038	655.5092375	661.8901721	328760464
101	2	1.8	15	0.5	407.0737236	415.8221268	417.0138304	421.6395238	321613862
101	2	0.2	7.5	0.25	5247.919718	5248.135896	5248.199762	5256.248587	96128975
101	2	0.3	7.5	0.25	4878.275803	4878.703944	4878.83944	4889.173686	136818747
101	2	0.4	7.5	0.25	4524.160064	4524.912749	4525.133248	4537.225389	161520054
101	2	0.5	7.5	0.25	4178.125675	4179.312886	4179.657984	4193.043841	173878269
101	2	0.6	7.5	0.25	3843.883122	3845.523501	3845.998524	3860.324284	198625750
101	2	0.7	7.5	0.25	3515.138986	3517.348616	3517.963891	3532.927701	215446296
101	2	0.8	7.5	0.25	3195.994003	3198.722009	3199.475284	3214.76264	234252542
101	2	0.9	7.5	0.25	2881.128123	2884.633988	2885.553053	2900.906074	252850649
101	2	1	7.5	0.25	2576.217347	2580.385155	2581.45009	2596.648608	950652587
101	2	1.1	7.5	0.25	2278.802179	2283.8772	2285.110874	2299.912446	1007257270
101	2	1.2	7.5	0.25	1986.632693	1992.477346	1993.848342	2008.009124	1324483564
101	2	1.3	7.5	0.25	1702.559193	1709.468427	1711.006053	1724.314071	1149278916
101	2	1.4	7.5	0.25	1424.602384	1432.575071	1434.192345	1446.386416	1142560580
101	2	1.5	7.5	0.25	1156.044835	1165.376677	1167.11281	1177.98942	1470294733
101	2	1.6	7.5	0.25	894.3213872	904.6461496	906.3636776	915.6856952	1491749252
101	2	1.7	7.5	0.25	643.6502619	654.99723	656.6925701	664.2102629	1632409680
101	2	1.8	7.5	0.25	403.3847866	416.1758112	417.685795	423.1092218	1567725034
101	2	0.2	3.75	0.125	5247.336496	5247.707548	5247.790727	5257.9259	329052685
101	2	0.3	3.75	0.125	4880.335425	4881.065226	4881.232514	4894.168893	500689966
101	2	0.4	3.75	0.125	4521.380628	4522.662195	4522.950763	4537.953834	516881473
101	2	0.5	3.75	0.125	4181.907303	4183.782436	4184.210546	4200.783731	617747504
101	2	0.6	3.75	0.125	3840.582755	3843.185108	3843.800782	3861.447249	678635090
101	2	0.7	3.75	0.125	3517.557101	3520.914422	3521.684206	3540.049397	753422379
101	2	0.8	3.75	0.125	3196.756232	3201.129931	3202.131205	3220.80692	823013068
101	2	0.9	3.75	0.125	2886.267245	2891.749912	2892.95295	2911.651497	889144570
101	2	1	3.75	0.125	2578.218114	2584.768077	2586.170994	2604.579432	949825711
101	2	1.2	3.75	0.125	1985.594918	1994.813404	1996.638694	2013.642172	744542891
101	2	1.3	3.75	0.125	1701.850903	1712.015466	1713.958487	1729.850731	776427771
101	2	1.4	3.75	0.125	1424.110943	1436.058154	1438.171705	1452.700304	801919491
101	2	1.5	3.75	0.125	1154.687111	1168.030933	1170.273606	1183.151008	822666394
101	2	1.6	3.75	0.125	893.3590148	908.82603	911.1236896	922.0922088	873208817
101	2	1.7	3.75	0.125	639.9510203	657.2343521	659.4674771	668.2283023	896441621
101	2	1.8	3.75	0.125	398.8020076	417.6461146	419.6517468	425.915226	816210290
101	2	0.2	1.875	0.0625	5252.239478	5252.92253	5253.0277	5266.214664	326709022
101	2	0.3	1.875	0.0625	4886.379899	4887.712762	4887.94129	4904.571455	493802387
101	2	0.4	1.875	0.0625	4521.859064	4524.016042	4524.388201	4543.516415	513855861
101	2	0.5	1.875	0.0625	4187.020962	4190.211269	4190.784666	4211.716445	598077921
101	2	0.6	1.875	0.0625	3849.408795	3853.739112	3854.53077	3876.66044	674577752
101	2	0.7	1.875	0.0625	3525.572887	3531.27707	3532.337375	3555.205766	749920286
101	2	0.8	1.875	0.0625	3203.158879	3210.288091	3211.600466	3234.721828	818321034
101	2	0.9	1.875	0.0625	2886.103985	2894.72255	2896.361731	2919.312238	881739177
101	2	1	1.875	0.0625	2580.094951	2590.16431	2592.037162	2614.498418	958831476
101	2	1.1	1.875	0.0625	2284.615798	2296.78918	2299.014656	2320.641291	269664143
101	2	1.2	1.875	0.0625	1989.617122	2003.524445	2006.015397	2026.445095	857020291
101	2	1.3	1.875	0.0625	1708.504641	1724.178109	1726.907812	1745.88297	820594934
101	2	1.4	1.875	0.0625	1427.85557	1445.749817	1448.69983	1465.883736	841317367
101	2	1.5	1.875	0.0625	1154.188953	1175.020346	1178.351562	1193.455042	861581218
101	2	1.6	1.875	0.0625	892.6581147	916.1553024	919.5469616	932.28101	929505306
101	2	1.7	1.875	0.0625	637.7023215	663.1325172	666.4231514	676.4742854	947460872
101	2	1.8	1.875	0.0625	393.07731	421.8735296	424.8739506	431.9559934	885506066
101	2	0.2	80	2	7034.515471	7034.592569	7034.622673	7039.770814	112776907
101	2	0.3	80	2	6556.362296	6556.527336	6556.595025	6563.279554	148011347
101	2	0.4	80	2	6090.185016	6090.482227	6090.590797	6098.459011	179827735
101	2	0.5	80	2	5639.894891	5640.347198	5640.518609	5649.304737	210312927
101	2	0.6	80	2	5196.996609	5197.641498	5197.868385	5207.337699	238652676
101	2	0.7	80	2	4763.442921	4764.317909	4764.615862	4774.538893	265507958
101	2	0.8	80	2	4341.30088	4342.434427	4342.808333	4353.015578	291107983
101	2	0.9	80	2	3925.673348	3927.105832	3927.555469	3937.864043	320102453
101	2	1	80	2	3519.238119	3521.018571	3521.54703	3531.817859	340342897
101	2	1.1	80	2	3119.993779	3122.137084	3122.755824	3132.78252	373397349
101	2	1.2	80	2	2730.627856	2733.1767	2733.860465	2743.517868	398008902
101	2	1.3	80	2	2347.788269	2350.778922	2351.531139	2360.668111	401698888
101	2	1.4	80	2	1974.80765	1978.216461	1979.019123	1987.454855	1033385411
101	2	1.5	80	2	1610.575088	1614.422452	1615.267217	1622.857276	1074149674
101	2	1.6	80	2	1255.220518	1259.632669	1260.503446	1267.050296	1102011341
101	2	1.7	80	2	912.5443259	917.3308982	918.159716	923.4894476	1122694818
101	2	1.8	80	2	582.469232	587.5129266	588.25634	592.1466512	1124830811
101	2	0.2	40	1	7034.913773	7035.018037	7035.058265	7041.279062	280620683
101	2	0.3	40	1	6556.31729	6556.549689	6556.631888	6564.674039	368141724
101	2	0.4	40	1	6088.508808	6088.918995	6089.062389	6098.524782	448050185
101	2	0.5	40	1	5636.496726	5637.109024	5637.317874	5647.86702	522807505
101	2	0.6	40	1	5193.478218	5194.379962	5194.676712	5206.02455	595423977
101	2	0.7	40	1	4762.914241	4764.110124	4764.49056	4776.413166	663562401
101	2	0.8	40	1	4339.553175	4341.105746	4341.579632	4353.830317	726987584
