r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	0.5	1.875	0.0625	77	46	149.149375	5256315	41960910	435264
2	0.4	1.875	0.0625	79	50	164.586722	4448195	35500950	380592
2	0.3	1.875	0.0625	82	56	180.8720885	3670192	29273430	325234
2	0.2	1.875	0.0625	87	63	198.2324441	2924193	23329800	270247
2	1.8	80	2	33	31	21.97949837	469121	2351880	9933
2	1.7	80	2	35	32	34.61946143	49850	249640	9911
2	1.6	80	2	36	34	47.87292169	53405	266530	10024
2	1.5	80	2	37	35	61.64072679	108543	542460	9168
2	1.4	80	2	38	36	75.85707933	46742	233740	9367
2	1.3	80	2	39	37	90.47096164	535113	2685120	9451
2	1.2	80	2	40	38	105.4877855	163958	828290	9316
2	1.1	80	2	40	39	120.8725548	478739	2694960	8481
2	1	80	2	41	40	136.620439	41474	206430	8574
2	0.9	80	2	42	41	152.7357919	46033	229730	8727
2	0.8	80	2	43	42	169.2173574	45272	224970	8735
2	0.7	80	2	44	43	186.07823	90116	448700	8735
2	0.6	80	2	45	44	203.345573	191734	964750	8729
2	0.5	80	2	46	45	221.0382986	44075	217670	8874
2	0.4	80	2	47	47	239.2035374	382934	1929160	8848
2	0.3	80	2	49	48	257.9319478	682513	3473010	8964
2	0.2	80	2	51	50	277.3256514	1135547	5708730	9196
2	1.8	40	1	35	30	20.97486899	242833	1214150	20365
2	1.7	40	1	36	32	33.33107656	125594	625470	19475
2	1.6	40	1	38	33	46.3743119	144804	723330	20369
2	1.5	40	1	39	35	59.9723317	121516	607440	18955
2	1.4	40	1	40	36	74.08107878	558655	2811860	19142
2	1.3	40	1	40	37	88.62761735	116885	581970	17740
2	1.2	40	1	41	38	103.5940935	243598	1222420	17729
2	1.1	40	1	42	39	118.9607933	211939	1063070	17306
2	1	40	1	43	40	134.7169656	164232	818130	15985
2	0.9	40	1	44	41	150.8695829	93828	467580	15900
2	0.8	40	1	45	42	167.4063552	241101	1204820	16016
2	0.7	40	1	45	43	184.3510046	92460	461460	14705
2	0.6	40	1	46	45	201.7338794	474018	2396230	14642
2	0.5	40	1	47	46	219.5695637	694683	3490770	13884
