r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	0.5	2.5	0.0625	53	203.9605322	5041	56540	2723
2	0.4	2.5	0.0625	59	224.2489541	6788	75250	3340
2	0.3	2.5	0.0625	66	245.3989525	9575	106700	4163
2	0.2	2.5	0.0625	75	267.682726	13641	149900	5368
2	1.8	100	2	39	28.72744612	2685	31370	977
2	1.7	100	2	41	44.96780198	3184	37050	1103
2	1.6	100	2	43	61.9045135	3357	38980	1163
2	1.5	100	2	44	79.4010314	3520	41010	1195
2	1.4	100	2	45	97.40722347	3906	44290	1275
2	1.3	100	2	46	115.8648926	4027	47260	1294
2	1.2	100	2	47	134.7628089	4312	50120	1346
2	1.1	100	2	49	154.1195511	4679	54910	1425
2	1	100	2	50	173.85372	4745	55850	1454
2	0.9	100	2	51	193.989894	4438	49920	1483
2	0.8	100	2	52	214.544584	4524	51710	1518
2	0.7	100	2	53	235.5180311	4759	54000	1602
2	0.6	100	2	54	256.9328205	4964	55770	1644
2	0.5	100	2	56	278.8459786	5470	61550	1759
2	0.4	100	2	57	301.2797324	5872	66250	1866
2	0.3	100	2	59	324.3261031	6635	75690	1990
2	0.2	100	2	61	348.1162608	7565	86650	2147
2	1.8	50	1	38	27.58348364	1958	22810	1010
2	1.7	50	1	40	43.47273173	2287	25970	1119
2	1.6	50	1	41	60.12804293	2469	28680	1201
2	1.5	50	1	43	77.49090396	2804	32870	1293
2	1.4	50	1	44	95.3531536	3213	37580	1382
2	1.3	50	1	46	113.8013299	3392	39570	1498
2	1.2	50	1	47	132.6354851	3671	42440	1573
2	1.1	50	1	48	151.9379577	3920	45870	1600
2	1	50	1	50	171.7280038	4207	48810	1694
2	0.9	50	1	51	191.8974878	3754	42630	1761
2	0.8	50	1	52	212.5122982	3962	44230	1810
2	0.7	50	1	53	233.5658659	4160	47440	1922
2	0.6	50	1	55	255.1462611	4639	53050	2043
2	0.5	50	1	56	277.1920116	5093	58010	2169
2	0.4	50	1	58	299.8352022	5751	65640	2366
2	0.3	50	1	60	323.1139048	6604	74550	2587
2	0.2	50	1	63	347.1992554	8026	89120	2871
2	1.8	25	0.5	35	25.80948136	1407	16840	927
2	1.7	25	0.5	37	41.18354685	1671	20010	1053
2	1.6	25	0.5	40	57.62893991	1993	23600	1195
2	1.5	25	0.5	41	74.62722546	2279	27090	1288
2	1.4	25	0.5	43	92.36760018	2526	29770	1433
2	1.3	25	0.5	45	110.7053659	2796	32860	1545
2	1.2	25	0.5	46	129.4683056	3076	35750	1624
2	1.1	25	0.5	48	148.8783426	3418	39100	1720
2	1	25	0.5	49	168.5906609	3594	41180	1832
2	0.9	25	0.5	51	188.9326811	3353	38160	1959
2	0.8	25	0.5	52	209.6281241	3647	39670	2079
2	0.7	25	0.5	54	230.8852256	3960	44940	2231
2	0.6	25	0.5	56	252.6515068	4610	52260	2439
2	0.5	25	0.5	58	274.947638	5195	58050	2657
2	0.4	25	0.5	60	297.8451162	5889	65970	2888
2	0.3	25	0.5	63	321.4595315	6986	77590	3225
2	0.2	25	0.5	66	345.9324095	8584	94360	3648
2	1.8	12.5	0.25	31	23.21487374	986	11630	759
2	1.7	12.5	0.25	34	37.9137225	1259	15020	922
2	1.6	12.5	0.25	36	53.65031948	1497	17880	1058
2	1.5	12.5	0.25	39	70.58382887	1818	21800	1213
2	1.4	12.5	0.25	41	87.99171491	2135	25030	1365
2	1.3	12.5	0.25	43	106.175575	2442	28370	1509
2	1.2	12.5	0.25	45	125.0072753	2777	31790	1654
2	1.1	12.5	0.25	47	144.3662147	3185	36760	1767
2	1	12.5	0.25	49	164.2764949	3542	41300	1937
2	0.9	12.5	0.25	50	184.5169214	3092	35050	2018
2	0.8	12.5	0.25	53	205.5788522	3600	40940	2279
2	0.7	12.5	0.25	55	227.0578052	4257	46530	2511
2	0.6	12.5	0.25	57	249.0562139	4784	52840	2738
2	0.5	12.5	0.25	60	271.726442	5678	64010	3061
2	0.4	12.5	0.25	63	295.0325063	6662	74150	3421
2	0.3	12.5	0.25	66	319.0900684	8050	87810	3886
2	0.2	12.5	0.25	71	344.1418909	10256	111520	4567
2	1.8	6.25	0.125	25	19.54885743	630	7570	555
2	1.7	6.25	0.125	29	33.22387662	903	10840	735
2	1.6	6.25	0.125	32	48.21949062	1150	13810	866
