r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	1.7	2.5	0.0625	4	15	15	26.4972438	221	30	232909
2	1.6	2.5	0.0625	4	18	18	38.0525228	1123	360	461064
2	1.5	2.5	0.0625	4	21	21	50.36334686	278	40	798315
2	1.4	2.5	0.0625	4	24	24	63.32221894	287	50	1281790
2	1.3	2.5	0.0625	4	26	26	76.78881238	216	50	1740213
2	1.2	2.5	0.0625	4	29	29	90.93807607	360	70	2513030
2	1.1	2.5	0.0625	4	32	32	105.6475485	315	80	3513097
2	1	2.5	0.0625	4	35	35	120.9207254	358	100	4757832
2	0.9	2.5	0.0625	4	38	38	136.7708305	555	120	6273553
2	0.8	2.5	0.0625	4	41	41	153.2143771	350	130	12093619
2	0.7	2.5	0.0625	4	45	45	170.3339671	3000	2060	10933155
2	0.6	2.5	0.0625	4	49	49	188.1208763	2635	870	14437900
2	0.5	2.5	0.0625	4	53	53	206.6537706	535	230	18776680
2	0.4	2.5	0.0625	4	59	59	226.0766313	386	360	26264049
2	0.3	2.5	0.0625	4	66	66	246.5108218	5260	1610	37394387
2	0.2	2.5	0.0625	4	75	75	268.2440074	935	1000	56105380
2	1.8	100	2	4	39	39	29.00682236	333	2240	1297622
2	1.7	100	2	4	41	41	45.28772762	123	130	1601641
2	1.6	100	2	4	43	43	62.23006214	134	140	1823540
2	1.5	100	2	4	44	44	79.73203019	140	140	2003080
2	1.4	100	2	4	45	45	97.72107264	147	170	2338037
2	1.3	100	2	4	46	46	116.1630017	152	150	2542863
2	1.2	100	2	4	47	47	135.034002	158	160	2825155
2	1.1	100	2	4	49	49	154.3370552	171	170	3148139
2	1	100	2	4	50	50	174.038801	179	210	3450212
2	0.9	100	2	4	51	51	194.1486713	214	520	3816541
2	0.8	100	2	4	52	52	214.6712496	189	190	4101600
2	0.7	100	2	4	53	53	235.6193877	217	400	4369451
2	0.6	100	2	4	54	54	257.0136556	204	200	4801862
2	0.5	100	2	4	56	56	278.8967528	231	330	5286306
2	0.4	100	2	4	57	57	301.3140103	229	250	5906293
2	0.3	100	2	4	59	59	324.3453843	241	240	6644460
2	0.2	100	2	4	61	61	348.1250519	286	540	7658905
2	1.8	50	1	4	38	38	28.23100817	106	110	1637522
2	1.7	50	1	4	40	40	44.24870067	154	510	2044299
2	1.6	50	1	4	41	41	60.95850388	312	2000	2303989
2	1.5	50	1	4	43	43	78.29307003	138	180	2771296
2	1.4	50	1	4	44	44	96.12660034	367	2410	3075606
2	1.3	50	1	4	46	46	114.4757057	154	180	3569026
2	1.2	50	1	4	47	47	133.2670568	177	370	3960898
2	1.1	50	1	4	48	48	152.4964266	187	410	4276031
2	1	50	1	4	50	50	172.1732515	176	180	4858366
