r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	0.3	40	1	49	256.8966377	97375	1165080	474060
2	0.2	40	1	52	276.5187702	102557	1228560	508911
2	1.8	20	0.5	27	20.71065945	82286	983630	387088
2	1.7	20	0.5	29	32.86241163	91414	1094420	424922
2	1.6	20	0.5	31	45.69182424	98996	1186210	463595
2	1.5	20	0.5	32	59.0715603	107761	1289400	486326
2	1.4	20	0.5	34	72.98100015	117082	1402210	523385
2	1.3	20	0.5	35	87.33358461	125446	1502460	546724
2	1.2	20	0.5	36	102.1174016	131278	1572080	568135
2	1.1	20	0.5	38	117.3679954	139540	1671770	607523
2	1	20	0.5	39	133.0073887	146328	1752500	628604
2	0.9	20	0.5	41	149.0809561	159169	1904380	661692
2	0.8	20	0.5	42	165.5775092	160930	1925380	688838
2	0.7	20	0.5	43	182.5049693	173836	2080070	708906
2	0.6	20	0.5	45	199.929018	184085	2206110	749374
2	0.5	20	0.5	47	217.8492989	198309	2373700	795510
2	0.4	20	0.5	49	236.3317906	212044	2537580	839145
2	0.3	20	0.5	51	255.4642339	224326	2688360	885222
2	0.2	20	0.5	54	275.4038718	249477	2986830	951153
2	1.8	10	0.25	23	19.58326732	143742	1722800	629403
2	1.7	10	0.25	26	31.35589498	175315	2100970	737457
2	1.6	10	0.25	28	43.84549417	200517	2401030	809257
2	1.5	10	0.25	30	56.95852002	227046	2720890	878500
2	1.4	10	0.25	32	70.62282165	249970	2992350	951804
2	1.3	10	0.25	33	84.76050977	268642	3217280	1010065
2	1.2	10	0.25	35	99.42615736	305348	3657330	1085983
2	1.1	10	0.25	37	114.5515791	329449	3945720	1166373
2	1	10	0.25	39	130.1310411	359050	4303020	1239768
2	0.9	10	0.25	40	146.1553768	379444	4545830	1291314
2	0.8	10	0.25	42	162.6762341	408031	4889540	1367755
2	0.7	10	0.25	44	179.6840688	444615	5326230	1447676
2	0.6	10	0.25	46	197.2095584	479818	5746750	1534862
2	0.5	10	0.25	49	215.3072586	530017	6349430	1642076
2	0.4	10	0.25	51	234.0280449	579007	6937980	1730238
2	0.3	10	0.25	55	253.4877728	643211	7704620	1872689
2	0.2	10	0.25	59	273.856732	740464	8874060	2047076
2	1.8	5	0.125	18	18.17723131	255857	3066390	994935
2	1.7	5	0.125	21	29.43224833	341378	4089370	1201729
2	1.6	5	0.125	24	41.51506977	431135	5166870	1407967
2	1.5	5	0.125	26	54.22533011	511362	6128580	1564131
2	1.4	5	0.125	28	67.54148957	583946	6995730	1714184
2	1.3	5	0.125	31	81.47946025	698090	8364580	1908718
2	1.2	5	0.125	33	95.8941631	784378	9396640	2056064
2	1.1	5	0.125	35	110.8260831	873351	10463720	2200713
2	1	5	0.125	37	126.2690518	978817	11727900	2344744
2	0.9	5	0.125	40	142.2608122	1137612	13633850	2548457
2	0.8	5	0.125	42	158.7534923	1239787	14856510	2701108
2	0.7	5	0.125	45	175.818797	1425090	17078370	2904584
2	0.6	5	0.125	48	193.4698212	1617076	19377040	3122409
2	0.5	5	0.125	51	211.7652219	1862903	22323650	3336483
2	0.4	5	0.125	55	230.7893214	2155423	25824630	3608603
2	0.3	5	0.125	59	250.6673878	2521262	30216460	3896960
2	0.2	5	0.125	65	271.6095333	3080380	36916180	4312753
2	1.8	2.5	0.0625	12	16.49737479	366800	4393100	1257475
2	1.7	2.5	0.0625	15	27.12820055	569402	6824430	1631200
2	1.6	2.5	0.0625	18	38.65630112	825866	9897670	1999022
2	1.5	2.5	0.0625	21	50.9230691	1113487	13343020	2369714
2	1.4	2.5	0.0625	24	63.83681342	1465699	17562040	2727332
2	1.3	2.5	0.0625	26	77.28361735	1727814	20707540	2985946
2	1.2	2.5	0.0625	29	91.38826419	2150330	25766920	3331405
2	1.1	2.5	0.0625	32	106.0533343	2580787	30924700	3677090
2	1	2.5	0.0625	35	121.2820682	3171535	38006590	4042600
